type,service_tier_id,service_tier
0,2,GrabCar Standard
1,2,GrabCar Standard
2,2,GrabCar Standard
3,2,GrabCar Standard
4,2,GrabCar Standard
5,2,GrabCar Standard
6,2,GrabCar Standard
7,2,GrabCar Standard
8,2,GrabCar Standard
9,2,GrabCar Standard
10,2,GrabCar Standard
11,2,GrabCar Standard
12,2,GrabCar Standard
13,2,GrabCar Standard
14,2,GrabCar Standard
15,2,GrabCar Standard
16,2,GrabCar Standard
17,2,GrabCar Standard
18,2,GrabCar Standard
19,2,GrabCar Standard
20,2,GrabCar Standard
21,2,GrabCar Standard
22,2,GrabCar Standard
23,2,GrabCar Standard
24,3,GrabCar Max
25,3,GrabCar Max
26,3,GrabCar Max
27,3,GrabCar Max
28,3,GrabCar Max
29,3,GrabCar Max
30,3,GrabCar Max
31,3,GrabCar Max
32,3,GrabCar Max
33,3,GrabCar Max
34,3,GrabCar Max
35,3,GrabCar Max
36,1,GrabCar Hemat
37,1,GrabCar Hemat
38,1,GrabCar Hemat
39,1,GrabCar Hemat
40,1,GrabCar Hemat
41,1,GrabCar Hemat
42,1,GrabCar Hemat
43,1,GrabCar Hemat
44,1,GrabCar Hemat
45,1,GrabCar Hemat
46,1,GrabCar Hemat
47,1,GrabCar Hemat
48,2,GrabCar Standard
49,2,GrabCar Standard
50,2,GrabCar Standard
51,2,GrabCar Standard
52,2,GrabCar Standard
53,1,GrabCar Hemat
54,2,GrabCar Standard
55,2,GrabCar Standard
56,2,GrabCar Standard
57,2,GrabCar Standard
58,2,GrabCar Standard
59,2,GrabCar Standard
60,1,GrabCar Hemat
61,1,GrabCar Hemat
62,1,GrabCar Hemat
63,1,GrabCar Hemat
64,1,GrabCar Hemat
65,1,GrabCar Hemat
66,1,GrabCar Hemat
67,1,GrabCar Hemat
68,1,GrabCar Hemat
69,1,GrabCar Hemat
70,1,GrabCar Hemat
71,1,GrabCar Hemat
72,2,GrabCar Standard
73,2,GrabCar Standard
74,2,GrabCar Standard
75,2,GrabCar Standard
76,2,GrabCar Standard
77,2,GrabCar Standard
78,2,GrabCar Standard
79,2,GrabCar Standard
80,2,GrabCar Standard
81,2,GrabCar Standard
82,2,GrabCar Standard
83,2,GrabCar Standard
84,3,GrabCar Max
85,3,GrabCar Max
86,3,GrabCar Max
87,3,GrabCar Max
88,3,GrabCar Max
89,3,GrabCar Max
90,3,GrabCar Max
91,3,GrabCar Max
92,3,GrabCar Max
93,3,GrabCar Max
94,3,GrabCar Max
95,3,GrabCar Max
